[11:07:39] Requirement Extraction Log
------------------------------------------------------------------------
[11:07:39] Started attachment search.
[11:07:39] Scan progress 0/1: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments
[11:07:55] Scan progress 1/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 0% complete | 0 attachments found
[11:08:01] Scan progress 311/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 21% complete | 6 attachments found
[11:08:02] Scan progress 316/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 22% complete | 6 attachments found
[11:08:02] Scan progress 321/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 22% complete | 6 attachments found
[11:08:02] Scan progress 326/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 23% complete | 6 attachments found
[11:08:02] Scan progress 331/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 23% complete | 6 attachments found
[11:08:02] Scan progress 336/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 23% complete | 6 attachments found
[11:08:02] Scan progress 341/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 24% complete | 6 attachments found
[11:08:02] Scan progress 346/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 24% complete | 6 attachments found
[11:08:02] Scan progress 351/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 24% complete | 6 attachments found
[11:08:02] Scan progress 356/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 25% complete | 6 attachments found
[11:08:02] Scan progress 361/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 25% complete | 6 attachments found
[11:08:03] Scan progress 366/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 25% complete | 6 attachments found
[11:08:03] Scan progress 371/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 26% complete | 6 attachments found
[11:08:03] Scan progress 376/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 26% complete | 6 attachments found
[11:08:03] Scan progress 381/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 26% complete | 6 attachments found
[11:08:03] Scan progress 386/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 27% complete | 6 attachments found
[11:08:03] Scan progress 391/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 27% complete | 6 attachments found
[11:08:03] Scan progress 396/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 27% complete | 6 attachments found
[11:08:03] Scan progress 401/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 28% complete | 6 attachments found
[11:08:03] Scan progress 406/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 28% complete | 6 attachments found
[11:08:03] Scan progress 411/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 29% complete | 6 attachments found
[11:08:04] Scan progress 416/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 29% complete | 6 attachments found
[11:08:04] Scan progress 421/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 29% complete | 6 attachments found
[11:08:04] Scan progress 426/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 30% complete | 6 attachments found
[11:08:04] Scan progress 431/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 30% complete | 6 attachments found
[11:08:04] Scan progress 436/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 30% complete | 6 attachments found
[11:08:04] Scan progress 441/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 31% complete | 6 attachments found
[11:08:04] Scan progress 446/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 31% complete | 6 attachments found
[11:08:04] Scan progress 451/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 31% complete | 6 attachments found
[11:08:05] Scan progress 456/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 32% complete | 6 attachments found
[11:08:05] Scan progress 461/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 32% complete | 6 attachments found
[11:08:05] Scan progress 466/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 32% complete | 6 attachments found
[11:08:05] Scan progress 471/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 33% complete | 6 attachments found
[11:08:05] Scan progress 476/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 33% complete | 6 attachments found
[11:08:05] Scan progress 481/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 33% complete | 6 attachments found
[11:08:05] Scan progress 486/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 34% complete | 6 attachments found
[11:08:05] Scan progress 491/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 34% complete | 6 attachments found
[11:08:05] Scan progress 496/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 35% complete | 6 attachments found
[11:08:05] Scan progress 501/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 35% complete | 6 attachments found
[11:08:06] Scan progress 506/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 35% complete | 6 attachments found
[11:08:06] Scan progress 511/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 36% complete | 6 attachments found
[11:08:06] Scan progress 516/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 36% complete | 6 attachments found
[11:08:06] Scan progress 521/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 36% complete | 6 attachments found
[11:08:06] Scan progress 526/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 37% complete | 6 attachments found
[11:08:06] Scan progress 531/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 37% complete | 6 attachments found
[11:08:06] Scan progress 536/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 37% complete | 6 attachments found
[11:08:06] Scan progress 541/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 38% complete | 6 attachments found
[11:08:06] Scan progress 546/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 38% complete | 6 attachments found
[11:08:07] Scan progress 551/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 38% complete | 6 attachments found
[11:08:07] Scan progress 556/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 39% complete | 6 attachments found
[11:08:07] Scan progress 561/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 39% complete | 6 attachments found
[11:08:07] Scan progress 566/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 40% complete | 6 attachments found
[11:08:07] Scan progress 571/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 40% complete | 6 attachments found
[11:08:07] Scan progress 576/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 40% complete | 6 attachments found
[11:08:07] Scan progress 581/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 41% complete | 6 attachments found
[11:08:07] Scan progress 586/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 41% complete | 6 attachments found
[11:08:07] Scan progress 591/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 41% complete | 6 attachments found
[11:08:07] Scan progress 596/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 42% complete | 6 attachments found
[11:08:08] Scan progress 601/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 42% complete | 6 attachments found
[11:08:08] Scan progress 606/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 42% complete | 6 attachments found
[11:08:08] Scan progress 611/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 43% complete | 6 attachments found
[11:08:08] Scan progress 616/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 43% complete | 6 attachments found
[11:08:08] Scan progress 621/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 43% complete | 6 attachments found
[11:08:08] Scan progress 626/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 44% complete | 6 attachments found
[11:08:08] Scan progress 631/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 44% complete | 6 attachments found
[11:08:08] Scan progress 636/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 44% complete | 6 attachments found
[11:08:08] Scan progress 641/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 45% complete | 6 attachments found
[11:08:09] Scan progress 646/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 45% complete | 6 attachments found
[11:08:09] Scan progress 651/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 46% complete | 6 attachments found
[11:08:09] Scan progress 656/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 46% complete | 6 attachments found
[11:08:09] Scan progress 661/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 46% complete | 6 attachments found
[11:08:09] Scan progress 666/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 47% complete | 6 attachments found
[11:08:09] Scan progress 671/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 47% complete | 6 attachments found
[11:08:09] Scan progress 676/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 47% complete | 6 attachments found
[11:08:09] Scan progress 681/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 48% complete | 6 attachments found
[11:08:09] Scan progress 686/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 48% complete | 6 attachments found
[11:08:09] Scan progress 691/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 48% complete | 6 attachments found
[11:08:10] Scan progress 696/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 49% complete | 6 attachments found
[11:08:10] Scan progress 701/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 49% complete | 6 attachments found
[11:08:10] Scan progress 706/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 49% complete | 6 attachments found
[11:08:10] Scan progress 711/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 50% complete | 6 attachments found
[11:08:10] Scan progress 716/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 50% complete | 6 attachments found
[11:08:10] Scan progress 721/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 50% complete | 6 attachments found
[11:08:10] Scan progress 726/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 51% complete | 6 attachments found
[11:08:10] Scan progress 731/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 51% complete | 6 attachments found
[11:08:10] Scan progress 736/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 52% complete | 6 attachments found
[11:08:11] Scan progress 741/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 52% complete | 6 attachments found
[11:08:11] Scan progress 746/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 52% complete | 6 attachments found
[11:08:11] Scan progress 751/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 53% complete | 6 attachments found
[11:08:11] Scan progress 756/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 53% complete | 6 attachments found
[11:08:11] Scan progress 761/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 53% complete | 6 attachments found
[11:08:11] Scan progress 766/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 54% complete | 6 attachments found
[11:08:11] Scan progress 771/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 54% complete | 6 attachments found
[11:08:11] Scan progress 776/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 54% complete | 6 attachments found
[11:08:11] Scan progress 781/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 55% complete | 6 attachments found
[11:08:12] Scan progress 786/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 55% complete | 6 attachments found
[11:08:12] Scan progress 791/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 55% complete | 6 attachments found
[11:08:12] Scan progress 796/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 56% complete | 6 attachments found
[11:08:12] Scan progress 801/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 56% complete | 6 attachments found
[11:08:12] Scan progress 806/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 56% complete | 6 attachments found
[11:08:12] Scan progress 811/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 57% complete | 6 attachments found
[11:08:12] Scan progress 816/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 57% complete | 6 attachments found
[11:08:12] Scan progress 821/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 58% complete | 6 attachments found
[11:08:12] Scan progress 826/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 58% complete | 6 attachments found
[11:08:13] Scan progress 831/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 58% complete | 6 attachments found
[11:08:13] Scan progress 836/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 59% complete | 6 attachments found
[11:08:13] Scan progress 841/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 59% complete | 6 attachments found
[11:08:13] Scan progress 846/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 59% complete | 6 attachments found
[11:08:13] Scan progress 851/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 60% complete | 6 attachments found
[11:08:13] Scan progress 856/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 60% complete | 6 attachments found
[11:08:13] Scan progress 861/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 60% complete | 6 attachments found
[11:08:13] Scan progress 866/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 61% complete | 6 attachments found
[11:08:13] Scan progress 871/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 61% complete | 6 attachments found
[11:08:13] Scan progress 876/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 61% complete | 6 attachments found
[11:08:14] Scan progress 881/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 62% complete | 6 attachments found
[11:08:14] Scan progress 886/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 62% complete | 6 attachments found
[11:08:14] Scan progress 891/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 62% complete | 6 attachments found
[11:08:14] Scan progress 896/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 63% complete | 6 attachments found
[11:08:14] Scan progress 901/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 63% complete | 6 attachments found
[11:08:14] Scan progress 906/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 64% complete | 6 attachments found
[11:08:14] Scan progress 911/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 64% complete | 6 attachments found
[11:08:14] Scan progress 916/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 64% complete | 6 attachments found
[11:08:14] Scan progress 921/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 65% complete | 6 attachments found
[11:08:15] Scan progress 926/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 65% complete | 6 attachments found
[11:08:15] Scan progress 931/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 65% complete | 6 attachments found
