[13:35:45] Requirement Extraction Log
------------------------------------------------------------------------
[13:35:45] Started attachment search.
[13:35:45] Scan progress 0/1: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | direct query
[13:35:46] Scan progress 0/1: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | item scan
[13:36:27] Scan progress 179/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 13% complete | 5 attachments found
[13:36:28] Scan progress 183/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 13% complete | 5 attachments found
[13:36:28] Scan progress 187/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 13% complete | 5 attachments found
[13:36:29] Scan progress 191/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 14% complete | 5 attachments found
[13:36:30] Scan progress 195/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 14% complete | 5 attachments found
[13:36:30] Scan progress 199/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 14% complete | 5 attachments found
[13:36:31] Scan progress 203/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 15% complete | 5 attachments found
[13:36:31] Scan progress 207/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 15% complete | 5 attachments found
[13:36:32] Scan progress 211/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 15% complete | 5 attachments found
[13:36:33] Scan progress 215/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 15% complete | 5 attachments found
[13:36:33] Scan progress 219/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 16% complete | 5 attachments found
[13:36:34] Scan progress 223/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 16% complete | 5 attachments found
[13:36:34] Scan progress 227/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 16% complete | 5 attachments found
[13:36:35] Scan progress 231/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 17% complete | 5 attachments found
[13:36:36] Scan progress 235/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 17% complete | 5 attachments found
[13:36:36] Scan progress 239/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 17% complete | 5 attachments found
[13:36:37] Scan progress 243/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 18% complete | 5 attachments found
[13:36:38] Scan progress 247/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 18% complete | 5 attachments found
[13:36:38] Scan progress 251/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 18% complete | 5 attachments found
[13:36:39] Scan progress 255/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 18% complete | 5 attachments found
[13:36:39] Scan progress 259/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 19% complete | 5 attachments found
[13:36:40] Scan progress 263/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 19% complete | 5 attachments found
[13:36:41] Scan progress 267/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 19% complete | 5 attachments found
[13:36:41] Scan progress 271/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 20% complete | 5 attachments found
[13:36:42] Scan progress 275/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 20% complete | 5 attachments found
[13:36:42] Scan progress 279/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 20% complete | 5 attachments found
[13:36:43] Scan progress 283/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 21% complete | 5 attachments found
[13:36:44] Scan progress 287/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 21% complete | 5 attachments found
[13:36:44] Scan progress 291/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 21% complete | 5 attachments found
[13:36:45] Scan progress 295/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 21% complete | 5 attachments found
[13:36:46] Scan progress 299/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 22% complete | 5 attachments found
[13:36:46] Scan progress 303/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 22% complete | 5 attachments found
[13:36:47] Scan progress 306/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 22% complete | 5 attachments found
[13:36:47] Scan progress 310/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 23% complete | 5 attachments found
[13:36:48] Scan progress 314/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 23% complete | 5 attachments found
[13:36:49] Scan progress 318/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 23% complete | 5 attachments found
[13:36:49] Scan progress 322/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 23% complete | 5 attachments found
[13:36:50] Scan progress 326/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 24% complete | 5 attachments found
[13:36:50] Scan progress 330/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 24% complete | 5 attachments found
[13:36:51] Scan progress 334/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 24% complete | 5 attachments found
[13:36:52] Scan progress 338/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 25% complete | 5 attachments found
[13:36:52] Scan progress 342/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 25% complete | 5 attachments found
[13:36:53] Scan progress 346/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 25% complete | 5 attachments found
[13:36:54] Scan progress 350/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 25% complete | 5 attachments found
[13:36:54] Scan progress 354/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 26% complete | 5 attachments found
[13:36:55] Scan progress 358/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 26% complete | 5 attachments found
[13:36:55] Scan progress 362/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 26% complete | 5 attachments found
[13:36:56] Scan progress 366/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 27% complete | 5 attachments found
[13:36:57] Scan progress 370/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 27% complete | 5 attachments found
[13:36:57] Scan progress 374/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 27% complete | 5 attachments found
[13:36:58] Scan progress 378/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 28% complete | 5 attachments found
[13:36:59] Scan progress 382/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 28% complete | 5 attachments found
[13:36:59] Scan progress 386/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 28% complete | 5 attachments found
[13:37:00] Scan progress 390/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 28% complete | 5 attachments found
[13:37:00] Scan progress 394/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 29% complete | 5 attachments found
[13:37:01] Scan progress 398/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 29% complete | 5 attachments found
[13:37:02] Scan progress 402/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 29% complete | 5 attachments found
[13:37:02] Scan progress 406/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 30% complete | 5 attachments found
[13:37:03] Scan progress 410/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 30% complete | 5 attachments found
[13:37:04] Scan progress 414/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 30% complete | 5 attachments found
[13:37:04] Scan progress 418/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 31% complete | 5 attachments found
[13:37:05] Scan progress 422/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 31% complete | 5 attachments found
[13:37:05] Scan progress 426/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 31% complete | 5 attachments found
[13:37:06] Scan progress 430/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 31% complete | 5 attachments found
[13:37:07] Scan progress 434/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 32% complete | 5 attachments found
[13:37:07] Scan progress 437/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 32% complete | 5 attachments found
[13:37:08] Scan progress 441/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 32% complete | 5 attachments found
[13:37:08] Scan progress 445/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 33% complete | 5 attachments found
[13:37:09] Scan progress 449/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 33% complete | 5 attachments found
[13:37:10] Scan progress 453/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 33% complete | 5 attachments found
[13:37:10] Scan progress 457/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 33% complete | 5 attachments found
[13:37:11] Scan progress 461/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 34% complete | 5 attachments found
[13:37:12] Scan progress 465/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 34% complete | 5 attachments found
[13:37:12] Scan progress 469/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 34% complete | 5 attachments found
[13:37:13] Scan progress 473/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 35% complete | 5 attachments found
[13:37:13] Scan progress 477/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 35% complete | 5 attachments found
[13:37:14] Scan progress 481/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 35% complete | 5 attachments found
[13:37:15] Scan progress 485/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 36% complete | 5 attachments found
[13:37:15] Scan progress 489/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 36% complete | 5 attachments found
[13:37:16] Scan progress 493/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 36% complete | 5 attachments found
[13:37:16] Scan progress 497/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 36% complete | 5 attachments found
[13:37:17] Scan progress 500/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 37% complete | 5 attachments found
[13:37:18] Scan progress 504/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 37% complete | 5 attachments found
[13:37:18] Scan progress 508/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 37% complete | 5 attachments found
[13:37:19] Scan progress 512/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 38% complete | 5 attachments found
[13:37:19] Scan progress 516/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 38% complete | 5 attachments found
[13:37:20] Scan progress 520/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 38% complete | 5 attachments found
[13:37:21] Scan progress 524/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 38% complete | 5 attachments found
[13:37:21] Scan progress 528/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 39% complete | 5 attachments found
[13:37:22] Scan progress 532/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 39% complete | 5 attachments found
[13:37:23] Scan progress 536/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 39% complete | 5 attachments found
[13:37:23] Scan progress 540/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 40% complete | 5 attachments found
[13:37:24] Scan progress 544/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 40% complete | 5 attachments found
[13:37:24] Scan progress 548/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 40% complete | 5 attachments found
[13:37:25] Scan progress 552/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 40% complete | 5 attachments found
[13:37:26] Scan progress 556/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 41% complete | 5 attachments found
[13:37:26] Scan progress 560/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 41% complete | 5 attachments found
[13:37:27] Scan progress 564/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 41% complete | 5 attachments found
[13:37:27] Scan progress 567/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 42% complete | 5 attachments found
[13:37:28] Scan progress 571/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 42% complete | 5 attachments found
[13:37:29] Scan progress 575/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 42% complete | 5 attachments found
[13:37:29] Scan progress 579/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 42% complete | 5 attachments found
[13:37:30] Scan progress 583/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 43% complete | 5 attachments found
[13:37:30] Scan progress 587/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 43% complete | 5 attachments found
[13:37:31] Scan progress 591/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 43% complete | 5 attachments found
[13:37:32] Scan progress 595/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 44% complete | 5 attachments found
[13:37:32] Scan progress 599/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 44% complete | 5 attachments found
[13:37:33] Scan progress 603/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 44% complete | 5 attachments found
[13:37:34] Scan progress 607/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 45% complete | 5 attachments found
[13:37:34] Scan progress 611/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 45% complete | 5 attachments found
[13:37:35] Scan progress 615/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 45% complete | 5 attachments found
[13:37:35] Scan progress 619/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 45% complete | 5 attachments found
[13:37:36] Scan progress 623/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 46% complete | 5 attachments found
[13:37:37] Scan progress 627/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 46% complete | 5 attachments found
[13:37:37] Scan progress 631/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 46% complete | 5 attachments found
[13:37:38] Scan progress 635/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 47% complete | 5 attachments found
[13:37:39] Scan progress 639/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 47% complete | 5 attachments found
[13:37:39] Scan progress 643/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 47% complete | 5 attachments found
[13:37:40] Scan progress 647/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 48% complete | 5 attachments found
[13:37:40] Scan progress 651/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 48% complete | 5 attachments found
[13:37:41] Scan progress 655/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 48% complete | 5 attachments found
[13:37:42] Scan progress 659/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 48% complete | 5 attachments found
[13:37:42] Scan progress 663/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 49% complete | 5 attachments found
[13:37:43] Scan progress 667/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 49% complete | 5 attachments found
[13:37:43] Scan progress 671/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 49% complete | 5 attachments found
[13:37:44] Scan progress 675/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 50% complete | 5 attachments found
[13:37:45] Scan progress 679/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 50% complete | 5 attachments found
[13:37:45] Scan progress 683/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 50% complete | 5 attachments found
[13:37:46] Scan progress 687/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 51% complete | 5 attachments found
[13:37:47] Scan progress 691/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 51% complete | 5 attachments found
[13:37:47] Scan progress 695/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 51% complete | 5 attachments found
[13:37:48] Scan progress 698/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 51% complete | 5 attachments found
[13:37:48] Scan progress 702/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 52% complete | 5 attachments found
[13:37:49] Scan progress 706/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 52% complete | 5 attachments found
[13:37:50] Scan progress 710/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 52% complete | 5 attachments found
[13:37:50] Scan progress 714/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 53% complete | 5 attachments found
[13:37:51] Scan progress 718/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 53% complete | 5 attachments found
[13:37:51] Scan progress 722/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 53% complete | 5 attachments found
[13:37:52] Scan progress 726/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 53% complete | 5 attachments found
[13:37:53] Scan progress 730/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 54% complete | 5 attachments found
